username,question_id,selected_choice,correct,answered_at
Jashua,q003,A,0,2025-05-09T16:39:42.520062
Jashua,q001,B,0,2025-05-09T16:39:59.618276
Jashua,q002,D,0,2025-05-09T16:40:05.240623
rohit,q002,C,1,2025-05-09T18:04:35.803598
rohit,q001,C,0,2025-05-09T18:04:40.355655
rohit,q003,B,0,2025-05-09T18:04:44.890166
Swetha,q003,B,0,2025-05-09T18:25:43.598391
Shah,q001,B,0,2025-05-09T18:26:58.684016
Shah,q002,D,0,2025-05-09T18:27:07.484808
Swetha,q002,C,1,2025-05-09T18:28:49.635146
